candidate,scope,season,rmse,n_obs
baseline_pooled_per_station,all_stations,summer,0.18906355756729942,2678
baseline_pooled_per_station,all_stations,monsoon,0.3374550022565931,652
baseline_pooled_per_station,all_stations,post_monsoon,0.3816490134101782,1966
baseline_pooled_per_station,all_stations,winter,0.2758629642116533,2534
baseline_pooled_per_station,all_stations,overall,0.2879376276477458,7830
season_intercept,all_stations,summer,0.17093704116639422,2678
season_intercept,all_stations,monsoon,0.24561514921955324,652
season_intercept,all_stations,post_monsoon,0.35286798893229415,1966
season_intercept,all_stations,winter,0.2777046186665798,2534
season_intercept,all_stations,overall,0.2669066523822294,7830
season_specific_fit,all_stations,summer,0.1670489744291455,2678
season_specific_fit,all_stations,monsoon,0.22934397592311054,652
season_specific_fit,all_stations,post_monsoon,0.34846533823924625,1966
season_specific_fit,all_stations,winter,0.2849397669270065,2534
season_specific_fit,all_stations,overall,0.26587278093727007,7830
pooled_cluster_merra2_only,shared_cell_cluster,summer,0.18678472455683265,2413
pooled_cluster_merra2_only,shared_cell_cluster,monsoon,0.3330477496387421,579
pooled_cluster_merra2_only,shared_cell_cluster,post_monsoon,0.3793366585543052,1769
pooled_cluster_merra2_only,shared_cell_cluster,winter,0.2804084731840827,2294
pooled_cluster_merra2_only,shared_cell_cluster,overall,0.28754846275436546,7055
pooled_cluster_covariate_augmented,shared_cell_cluster,summer,0.1871930490027526,2413
pooled_cluster_covariate_augmented,shared_cell_cluster,monsoon,0.3334482723828922,579
pooled_cluster_covariate_augmented,shared_cell_cluster,post_monsoon,0.3794906574770202,1769
pooled_cluster_covariate_augmented,shared_cell_cluster,winter,0.2807666640707997,2294
pooled_cluster_covariate_augmented,shared_cell_cluster,overall,0.2878418259847689,7055
baseline_pooled_per_station,shared_cell_cluster,summer,0.189834028118909,2413
baseline_pooled_per_station,shared_cell_cluster,monsoon,0.3430600159626556,579
baseline_pooled_per_station,shared_cell_cluster,post_monsoon,0.38454540714556507,1769
baseline_pooled_per_station,shared_cell_cluster,winter,0.28158673513019533,2294
baseline_pooled_per_station,shared_cell_cluster,overall,0.29128244173107554,7055
