location_id,name,region,latitude,longitude,parameters,sensor_count,datetime_first,datetime_last,pct_2025_possible,nn_km,nn_station,shares_maiac_pixel_risk,coord_verified,status,qc_note
13,"Delhi Technological University, Delhi - CPCB",NCT,28.744,77.12,"no2,o3,pm25",3,2016-11-03T00:30:00+05:30,2018-02-22T09:30:00+05:30,0.0,,,,,DROP_dead_since_2018,Last record Feb 2018; no 2025 coverage.
103,"Income Tax Office, Delhi - CPCB",NCT,28.6235,77.2494,"co,no2,o3,pm10,pm25",5,2016-11-03T00:00:00+05:30,2018-02-22T09:15:00+05:30,0.0,,,,,DROP_dead_since_2018,Last record Feb 2018; no 2025 coverage.
236,"Mandir Marg, Delhi - DPCC",NCT,28.6341,77.2005,"co,no2,o3,pm10,pm25,so2",6,2016-02-05T20:30:00+05:30,2018-02-22T02:45:00+05:30,0.0,,,,,DROP_dead_since_2018,Last record Feb 2018; no 2025 coverage.
431,"IHBAS, Delhi - CPCB",NCT,28.6821,77.305,"co,no2,pm25,so2",4,2016-04-11T00:00:00+05:30,2018-02-22T08:15:00+05:30,0.0,,,,,DROP_dead_since_2018,Last record Feb 2018; no 2025 coverage.
2503,"Shadipur, Delhi - CPCB",NCT,28.6517,77.1581,"co,no2,o3,pm25,so2",5,2016-03-22T05:00:00+05:30,2018-02-22T08:15:00+05:30,0.0,,,,,DROP_dead_since_2018,Last record Feb 2018; no 2025 coverage.
6356,"Pusa, Delhi - DPCC",NCT,28.639645,77.146262,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",12,2025-02-19T01:45:00+05:30,2026-07-30T11:15:00+05:30,86.0,,,,,DROP_duplicate_site_of_5404,"Identical coordinates to 5404 (Pusa-IMD) - same physical site, different reporting agency."
3409496,"New Moti Bagh, Delhi - MHUA",NCT,28.57834,77.184,"co,no,no2,nox,pm25,relativehumidity,temperature,wind_direction,wind_speed",9,2026-03-10T16:00:00+05:30,2026-06-13T14:45:00+05:30,0.0,,,,,DROP_no_2025_data,First record Mar 2026; no 2025 coverage.
15,IGI Airport,NCT,28.56,77.094,"co,no2,o3,pm10,pm25",5,,,,,,,,DROP_no_sensors_confirmed,"Test pull 2025-06-01/02 returned ""No sensors found"" - no data exists at any date."
16,Civil Lines,NCT,28.6787,77.2262,"co,no2,pm10,pm25",4,,,,,,,,DROP_no_sensors_confirmed,"Test pull 2025-06-01/02 returned ""No sensors found"" - no data exists at any date."
301,"Vikas Sadan, Gurugram - HSPCB",NCR,28.4501238,77.0263051,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",18,2016-03-25T13:30:00+05:30,2026-07-30T11:15:00+05:30,99.7,4.99,10825.0,,,DROP_low_completeness,"Failed day-level completeness check: 124/365 days (34.0%), well under the 60% threshold. Also flagged earlier for partial-year coverage (sensor active only Oct-Dec 2025) and 8.3% stuck hours / 6.5% zero values in window-filtered QC. All checks agreed."
6936,"Arya Nagar, Bahadurgarh - HSPCB",NCR,28.6701,76.9254,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",18,2019-02-13T05:45:00+05:30,2026-07-30T11:15:00+05:30,99.7,11.14,10488.0,,,DROP_qc_failed,"Failed window-filtered QC: 22% stuck hours, 21% zero values, no summer/monsoon coverage at all (sensor starts 2025-09-28). Dropped after stuck-sensor + zero-value + seasonal completeness checks all agreed."
10820,"Sector 30, Faridabad - HSPCB",NCR,28.4417,77.3217,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",12,2025-02-19T01:45:00+05:30,2026-07-30T07:45:00+05:30,86.0,8.42,6934.0,,,DROP_qc_failed,Failed window-filtered QC: extremely low completeness across all seasons (e.g. 1/488 possible monsoon hours). Dropped on completeness alone.
10825,"Sector-51, Gurugram - HSPCB",NCR,28.4227,77.0667,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",18,2020-03-11T14:30:00+05:30,2026-07-30T05:15:00+05:30,99.7,4.99,301.0,,,DROP_qc_failed,"Failed window-filtered QC: 9.3% stuck hours, 10.4% zero values, near-zero monsoon coverage specifically (5/488 possible hours). Dropped after stuck-sensor + zero-value + seasonal completeness checks all agreed."
10900,"Teri Gram, Gurugram - HSPCB",NCR,28.4275,77.1465,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",18,2020-03-30T21:30:00+05:30,2026-07-30T07:45:00+05:30,99.7,0.59,10921.0,YES,,DROP_qc_failed,"Failed window-filtered QC: 13% stuck hours, 14.2% zero values, zero monsoon coverage. Dropped after stuck-sensor + zero-value + seasonal completeness checks all agreed."
