location_id,name,region,latitude,longitude,parameters,sensor_count,datetime_first,datetime_last,pct_2025_possible,nn_km,nn_station,shares_maiac_pixel_risk,coord_verified,status,qc_note
5598,"Sector - 125, Noida, UP - UPPCB",NCR,28.5447608,77.3231257,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",12,2025-02-19T01:45:00+05:30,2026-07-30T11:15:00+05:30,86.0,4.89,5627.0,,,KEEP,"OpenAQ datetime_first is 2025-02-19 - an ingestion batch date shared by 5 stations, NOT station commissioning. Max possible 2025 coverage ~86%. CPCB may hold earlier data this pull will not return."
6980,"Sector-1, Noida - UPPCB",NCR,28.589247,77.321962,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",18,2019-06-28T11:15:00+05:30,2026-07-30T09:45:00+05:30,99.7,4.95,5598.0,,,KEEP,
7005,"Loni, Ghaziabad - UPPCB",NCR,28.757294,77.278792,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",18,2019-04-27T17:15:00+05:30,2026-07-30T08:30:00+05:30,99.7,5.94,8475.0,,,KEEP,
10921,"NISE Gwal Pahari, Gurugram - IMD",NCR,28.422681,77.148944,"co,no,no2,nox,o3,pm10,pm25",11,2018-11-16T14:30:00+05:30,2026-07-30T11:00:00+05:30,99.7,0.59,10900.0,YES,,KEEP,
17,"R K Puram, Delhi - DPCC",NCT,28.563262,77.186937,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",18,2016-02-05T20:25:00+05:30,2026-07-30T11:15:00+05:30,99.7,3.17,5586.0,,,KEEP,
50,"Punjabi Bagh, Delhi - DPCC",NCT,28.674045,77.131023,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",18,2016-02-05T20:25:00+05:30,2026-07-30T11:15:00+05:30,99.7,2.97,5630.0,,,KEEP,
235,"Anand Vihar, New Delhi - DPCC",NCT,28.646835,77.316032,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",18,2016-02-05T19:45:00+05:30,2026-07-30T11:15:00+05:30,99.7,2.84,6938.0,,,KEEP,
5404,"Pusa, Delhi - IMD",NCT,28.639645,77.146263,"co,no,no2,nox,o3,pm10,pm25",11,2017-09-15T11:30:00+05:30,2026-07-30T10:30:00+05:30,99.7,1.32,5630.0,BORDERLINE,,KEEP,Kept over 6356 (Pusa-DPCC) which had identical coordinates; 5404 has the longer record.
5541,"Burari Crossing, New Delhi - IMD",NCT,28.7256504,77.2011573,"co,no,no2,nox,o3,pm10,pm25",12,2018-03-09T11:30:00+05:30,2026-07-30T11:15:00+05:30,99.7,3.08,8235.0,,,KEEP,
5570,"Aya Nagar, New Delhi - IMD",NCT,28.474261,77.131606,"co,no,no2,nox,o3,pm10,pm25",12,2018-03-09T11:00:00+05:30,2026-07-30T11:00:00+05:30,99.7,5.4,10900.0,,,KEEP,
5586,"Sirifort, Delhi - CPCB",NCT,28.5504249,77.2159377,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",12,2025-02-19T01:45:00+05:30,2026-07-30T11:15:00+05:30,86.0,3.17,17.0,,,KEEP,"OpenAQ datetime_first is 2025-02-19 - an ingestion batch date shared by 5 stations, NOT station commissioning. Max possible 2025 coverage ~86%. CPCB may hold earlier data this pull will not return."
5610,"North Campus, DU, Delhi - IMD",NCT,28.6573814,77.1585447,"co,no,no2,nox,o3,pm10,pm25",13,2018-03-09T11:00:00+05:30,2026-07-30T11:00:00+05:30,99.7,1.28,5630.0,BORDERLINE,YES_CCR_by_name_2026-07-30,KEEP,"Name references DU North Campus but CPCB-registered location is Patel Nagar. Verified by name lookup on CCR dashboard (live AQI shown). Agency suffix differs: OpenAQ=IMD, CCR=IITM. Coordinate accepted as-is."
5613,"ITO, New Delhi - CPCB",NCT,28.628624,77.24106,"co,no,no2,nox,o3,pm10,pm25,so2",14,2018-03-09T11:00:00+05:30,2026-07-30T11:30:00+05:30,99.7,1.96,6929.0,,,KEEP,
5622,"NSIT Dwarka, Delhi - CPCB",NCT,28.60909,77.0325413,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",18,2018-03-09T11:30:00+05:30,2026-07-25T09:00:00+05:30,99.7,5.72,6931.0,,,KEEP,
5626,"DTU, New Delhi - CPCB",NCT,28.7500499,77.1112615,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",18,2018-03-09T11:00:00+05:30,2026-07-30T11:30:00+05:30,99.7,2.12,10831.0,,,KEEP,
5627,"CRRI Mathura Road, New Delhi - IMD",NCT,28.5512005,77.2735737,"co,no,no2,nox,o3,pm10,pm25",12,2018-03-09T11:00:00+05:30,2026-07-30T11:15:00+05:30,99.7,2.28,8239.0,,,KEEP,
5630,"Shadipur, Delhi - CPCB",NCT,28.6514781,77.1473105,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",18,2018-03-09T11:30:00+05:30,2026-07-30T11:15:00+05:30,99.7,1.28,5610.0,BORDERLINE,,KEEP,
5634,"Lodhi Road, New Delhi - IMD",NCT,28.5918245,77.2273074,"co,no,no2,nox,o3,pm10,pm25",12,2018-03-09T11:00:00+05:30,2026-07-30T11:15:00+05:30,99.7,0.67,11607.0,YES,,KEEP,
5650,"IGI Airport (T3), Delhi - IMD",NCT,28.5627763,77.1180053,"co,no,no2,nox,o3,pm10,pm25",7,2025-02-19T01:46:00+05:30,2026-07-30T11:15:00+05:30,86.0,4.6,6931.0,,,KEEP,"OpenAQ datetime_first is 2025-02-19 - an ingestion batch date shared by 5 stations, NOT station commissioning. Max possible 2025 coverage ~86%. CPCB may hold earlier data this pull will not return."
6358,"Mandir Marg, New Delhi - DPCC",NCT,28.636429,77.201067,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",18,2018-08-10T11:30:00+05:30,2026-07-30T11:15:00+05:30,99.7,3.41,11603.0,,,KEEP,
6359,"IHBAS, Dilshad Garden,New Delhi - CPCB",NCT,28.6811736,77.3025234,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",18,2018-04-28T21:15:00+05:30,2026-07-30T08:30:00+05:30,99.7,1.58,6938.0,,,KEEP,
6929,"Major Dhyan Chand National Stadium, Delhi - DPCC",NCT,28.611281,77.237738,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",18,2018-08-10T12:30:00+05:30,2026-07-30T11:45:00+05:30,99.7,1.96,5613.0,,,KEEP,
6931,"Dwarka-Sector 8, Delhi - DPCC ",NCT,28.5710274,77.0719006,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",18,2018-08-10T11:45:00+05:30,2026-07-30T11:45:00+05:30,99.7,4.6,5650.0,,,KEEP,
6932,"Alipur, Delhi - DPCC",NCT,28.815329,77.15301,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",18,2018-12-15T20:30:00+05:30,2026-07-30T11:15:00+05:30,99.7,5.04,10485.0,,,KEEP,
6934,"Dr. Karni Singh Shooting Range, Delhi - DPCC",NCT,28.498571,77.26484,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",18,2018-08-10T12:00:00+05:30,2026-07-30T11:45:00+05:30,99.7,3.64,8239.0,,,KEEP,
6938,"Vivek Vihar, Delhi - DPCC",NCT,28.672342,77.31526,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",18,2018-12-15T20:45:00+05:30,2026-07-30T11:15:00+05:30,99.7,1.58,6359.0,,,KEEP,
6957,"Jawaharlal Nehru Stadium, Delhi - DPCC",NCT,28.58028,77.233829,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",18,2018-08-10T11:30:00+05:30,2026-07-30T11:45:00+05:30,99.7,1.43,5634.0,BORDERLINE,,KEEP,
6960,"Patparganj, Delhi - DPCC",NCT,28.623748,77.287205,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",17,2018-08-10T11:30:00+05:30,2026-07-30T11:15:00+05:30,99.7,3.81,235.0,,,KEEP,
8235,"Jahangirpuri, Delhi - DPCC",NCT,28.73282,77.170633,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",18,2018-08-10T12:30:00+05:30,2026-07-30T11:45:00+05:30,99.7,3.08,5541.0,,,KEEP,
8239,"Okhla Phase-2, Delhi - DPCC",NCT,28.530785,77.271255,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",18,2018-08-22T17:15:00+05:30,2026-07-30T11:15:00+05:30,99.7,2.28,5627.0,,,KEEP,
8365,"Nehru Nagar, Delhi - DPCC",NCT,28.56789,77.250515,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",18,2018-08-10T11:30:00+05:30,2026-07-30T11:15:00+05:30,99.7,2.13,6957.0,,,KEEP,
8472,"Bawana, Delhi - DPCC",NCT,28.7762,77.051074,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",17,2018-08-10T11:45:00+05:30,2026-07-30T11:30:00+05:30,99.7,6.55,5626.0,,,KEEP,
8475,"Sonia Vihar, Delhi - DPCC",NCT,28.710508,77.249485,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",18,2018-08-10T13:45:00+05:30,2026-07-30T10:30:00+05:30,99.7,5.0,5541.0,,,KEEP,
